,sex.x,subject_name,YAG.x,SECTIONNAME.x,YAG.y,SECTIONNAME.y,count,qualification_TR.x
178,F,Performing arts,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,125,First degree
179,M,"Pharmacology, toxicology and pharmacy",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,125,First degree
180,M,Computing,1,INFORMATION AND COMMUNICATION,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",125,First degree
181,F,English studies,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,120,First degree
182,M,Chemistry,1,MANUFACTURING,3,MANUFACTURING,120,First degree
183,M,Computing,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,120,First degree
184,F,Business and management,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",120,First degree
185,M,History and archaeology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,120,First degree
186,M,Sport and exercise sciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,120,First degree
187,F,Politics,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",120,First degree
188,F,"Sociology, social policy and anthropology",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,120,First degree
189,F,Mathematical sciences,1,EDUCATION,3,EDUCATION,120,First degree
190,F,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",120,First degree
191,F,Languages and area studies,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,115,First degree
192,F,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",115,First degree
193,F,Health and social care,1,EDUCATION,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,115,First degree
194,M,Biosciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,115,First degree
195,M,Performing arts,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,115,First degree
196,M,Politics,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",115,First degree
197,M,History and archaeology,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,115,First degree
198,F,"Geography, earth and environmental studies",1,EDUCATION,3,EDUCATION,115,First degree
199,F,Languages and area studies,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,115,First degree
200,F,Creative arts and design,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,110,First degree
201,M,Computing,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,110,First degree
202,M,Engineering,1,MANUFACTURING,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",110,First degree
203,M,"Media, journalism and communications",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",110,First degree
204,M,"Sociology, social policy and anthropology",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,110,First degree
205,M,English studies,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,110,First degree
206,F,History and archaeology,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,110,First degree
207,M,"Architecture, building and planning",1,REAL ESTATE ACTIVITIES,3,REAL ESTATE ACTIVITIES,110,First degree
208,F,Law,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,105,First degree
209,F,"Agriculture, food and related studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,105,First degree
210,M,Sport and exercise sciences,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,105,First degree
211,F,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,105,First degree
212,M,Economics,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,105,First degree
213,F,"Geography, earth and environmental studies",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,105,First degree
214,M,Performing arts,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,105,First degree
215,M,Economics,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,105,First degree
216,M,Politics,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,105,First degree
217,F,"Media, journalism and communications",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,105,First degree
218,F,Chemistry,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",105,First degree
219,M,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,105,First degree
220,F,English studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,100,First degree
221,F,Politics,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,100,First degree
222,M,"Media, journalism and communications",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,100,First degree
223,F,"Geography, earth and environmental studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,100,First degree
224,M,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",100,First degree
225,M,Psychology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,100,First degree
226,M,"Geography, earth and environmental studies",1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,100,First degree
227,F,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,EDUCATION,100,First degree
228,M,"Geography, earth and environmental studies",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,100,First degree
229,M,English studies,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",100,First degree
230,M,Engineering,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,MANUFACTURING,100,First degree
231,F,History and archaeology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,100,First degree
232,F,Education and teaching,1,EDUCATION,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,100,First degree
233,F,Business and management,1,CONSTRUCTION,3,CONSTRUCTION,100,First degree
234,M,Mathematical sciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,100,First degree
235,M,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,100,First degree
236,F,Psychology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,100,First degree
237,F,Sport and exercise sciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,100,First degree
238,M,Law,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,95,First degree
239,M,Health and social care,1,EDUCATION,3,EDUCATION,95,First degree
240,F,Law,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,95,First degree
241,M,English studies,1,EDUCATION,3,EDUCATION,95,First degree
242,M,Computing,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,95,First degree
243,M,Computing,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,INFORMATION AND COMMUNICATION,95,First degree
244,M,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",95,First degree
245,F,Creative arts and design,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,95,First degree
246,F,Biosciences,1,MANUFACTURING,3,MANUFACTURING,95,First degree
247,F,Chemistry,1,MANUFACTURING,3,MANUFACTURING,95,First degree
248,M,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,INFORMATION AND COMMUNICATION,95,First degree
249,F,Law,1,EDUCATION,3,EDUCATION,90,First degree
250,M,English studies,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,90,First degree
251,M,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,90,First degree
252,F,Psychology,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,90,First degree
253,F,History and archaeology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,90,First degree
254,M,Computing,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,INFORMATION AND COMMUNICATION,90,First degree
255,M,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,90,First degree
256,M,Combined and general studies,1,EDUCATION,3,EDUCATION,90,First degree
257,F,Law,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,90,First degree
258,F,"Agriculture, food and related studies",1,MANUFACTURING,3,MANUFACTURING,90,First degree
259,M,Physics and astronomy,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,90,First degree
260,M,"Geography, earth and environmental studies",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,90,First degree
261,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,90,First degree
262,M,Law,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,90,First degree
263,F,"Agriculture, food and related studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",90,First degree
264,F,Sport and exercise sciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,90,First degree
265,F,"Architecture, building and planning",1,CONSTRUCTION,3,CONSTRUCTION,90,First degree
266,F,Health and social care,1,EDUCATION,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,85,First degree
267,M,Engineering,1,EDUCATION,3,EDUCATION,85,First degree
268,M,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,85,First degree
269,F,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,85,First degree
270,F,Allied health,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",85,First degree
271,M,Mathematical sciences,1,EDUCATION,3,EDUCATION,85,First degree
272,F,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,85,First degree
273,F,"Media, journalism and communications",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,85,First degree
274,F,Sport and exercise sciences,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",85,First degree
275,M,"Geography, earth and environmental studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,85,First degree
276,M,Psychology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,85,First degree
277,M,Materials and technology,1,MANUFACTURING,3,MANUFACTURING,85,First degree
278,F,Performing arts,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",80,First degree
279,M,Biosciences,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,80,First degree
280,F,English studies,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,80,First degree
281,M,Sport and exercise sciences,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,80,First degree
282,F,Creative arts and design,1,MANUFACTURING,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,80,First degree
283,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,MANUFACTURING,80,First degree
284,F,Mathematical sciences,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,80,First degree
285,F,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,80,First degree
286,M,Creative arts and design,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",80,First degree
287,M,Law,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,80,First degree
288,F,Business and management,1,OTHER SERVICE ACTIVITIES,3,OTHER SERVICE ACTIVITIES,80,First degree
289,F,Combined and general studies,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",80,First degree
290,F,Nursing and midwifery,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,75,First degree
291,M,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,75,First degree
292,M,Languages and area studies,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",75,First degree
293,F,"Sociology, social policy and anthropology",1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,75,First degree
294,F,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,75,First degree
295,F,Computing,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,75,First degree
296,F,"Media, journalism and communications",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,75,First degree
297,F,Education and teaching,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,75,First degree
298,M,Economics,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,75,First degree
299,F,"Media, journalism and communications",1,EDUCATION,3,EDUCATION,75,First degree
300,M,Computing,1,TRANSPORTATION AND STORAGE,3,TRANSPORTATION AND STORAGE,75,First degree
301,M,Computing,1,INFORMATION AND COMMUNICATION,3,FINANCIAL AND INSURANCE ACTIVITIES,75,First degree
302,M,Veterinary sciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",75,First degree
303,F,Health and social care,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,75,First degree
304,F,Education and teaching,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,70,First degree
305,F,Languages and area studies,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,70,First degree
306,M,"Geography, earth and environmental studies",1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,70,First degree
307,M,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,70,First degree
308,M,"Media, journalism and communications",1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",70,First degree
309,M,Sport and exercise sciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70,First degree
310,M,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,FINANCIAL AND INSURANCE ACTIVITIES,70,First degree
311,F,Nursing and midwifery,1,EDUCATION,3,EDUCATION,70,First degree
312,M,"Sociology, social policy and anthropology",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,70,First degree
313,F,Education and teaching,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,EDUCATION,70,First degree
314,M,Business and management,1,INFORMATION AND COMMUNICATION,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70,First degree
315,F,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,70,First degree
316,F,Psychology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,EDUCATION,70,First degree
317,M,Performing arts,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70,First degree
318,M,Sport and exercise sciences,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,70,First degree
319,M,Politics,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,70,First degree
320,M,Biosciences,1,MANUFACTURING,3,MANUFACTURING,70,First degree
321,M,Physics and astronomy,1,MANUFACTURING,3,MANUFACTURING,70,First degree
322,F,Computing,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70,First degree
323,M,Psychology,1,EDUCATION,3,EDUCATION,70,First degree
324,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,EDUCATION,70,First degree
325,M,History and archaeology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,70,First degree
326,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,65,First degree
327,M,Mathematical sciences,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,65,First degree
328,M,Business and management,1,FINANCIAL AND INSURANCE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",65,First degree
329,F,Allied health,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,EDUCATION,65,First degree
330,M,English studies,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,65,First degree
331,F,Languages and area studies,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,65,First degree
332,M,Materials and technology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,65,First degree
333,M,Law,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,65,First degree
334,F,Politics,1,EDUCATION,3,EDUCATION,65,First degree
335,F,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,65,First degree
336,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,INFORMATION AND COMMUNICATION,65,First degree
337,F,History and archaeology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,65,First degree
338,M,"Sociology, social policy and anthropology",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,65,First degree
339,M,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,INFORMATION AND COMMUNICATION,65,First degree
340,F,Philosophy and religious studies,1,EDUCATION,3,EDUCATION,65,First degree
341,M,Politics,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,65,First degree
342,F,Combined and general studies,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,65,First degree
